,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,Mitte,Brunnenstr. Süd,Entire home/apt,60,4,118,3.76,4,141
1,Pankow,Prenzlauer Berg Nordwest,Private room,17,2,6,1.42,1,0
2,Pankow,Prenzlauer Berg Südwest,Entire home/apt,90,62,143,1.25,1,220
3,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,26,5,25,0.39,1,297
4,Pankow,Helmholtzplatz,Private room,42,2,197,1.75,1,26
5,Pankow,Prenzlauer Berg Südwest,Entire home/apt,180,6,6,0.15,1,137
6,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,70,90,23,0.23,3,129
8,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,90,60,48,0.47,2,159
9,Pankow,Prenzlauer Berg Südwest,Private room,45,3,279,2.83,1,42
10,Neukölln,Reuterstraße,Entire home/apt,49,5,223,2.1,1,232
11,Pankow,Prenzlauer Berg Südwest,Entire home/apt,129,3,56,0.75,1,166
12,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,70,60,60,0.61,2,129
13,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,98,3,61,0.59,2,257
14,Mitte,Brunnenstr. Süd,Entire home/apt,160,3,223,2.27,1,228
15,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,65,60,96,0.94,1,275
16,Pankow,Prenzlauer Berg Südwest,Entire home/apt,90,3,18,0.18,2,3
17,Pankow,Prenzlauer Berg Süd,Entire home/apt,90,4,5,0.05,2,15
18,Pankow,Helmholtzplatz,Entire home/apt,197,3,163,1.63,1,336
19,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,70,90,28,0.29,3,191
20,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,90,5,30,0.33,1,55
21,Neukölln,Reuterstraße,Entire home/apt,60,2,1,0.02,10,341
22,Pankow,Helmholtzplatz,Entire home/apt,130,60,69,0.7,3,221
23,Pankow,Helmholtzplatz,Entire home/apt,100,4,240,2.42,4,296
24,Pankow,Helmholtzplatz,Private room,44,1,28,4.94,1,361
25,Mitte,Moabit Ost,Entire home/apt,62,3,144,1.44,1,343
26,Pankow,Prenzlauer Berg Nord,Entire home/apt,55,60,1,0.01,1,89
27,Charlottenburg-Wilm.,Otto-Suhr-Allee,Private room,40,1,33,1.63,2,297
28,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,25,5,21,0.21,1,329
29,Mitte,Brunnenstr. Süd,Entire home/apt,52,2,307,3.04,2,25
30,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,39,1,161,1.59,2,120
31,Pankow,Prenzlauer Berg Süd,Entire home/apt,80,84,102,1.03,10,221
32,Neukölln,Schillerpromenade,Entire home/apt,80,10,6,0.06,1,310
33,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,50,3,50,0.62,2,0
34,Pankow,Prenzlauer Berg Südwest,Private room,43,2,70,0.7,1,0
35,Pankow,Prenzlauer Berg Süd,Private room,40,1,1,0.02,1,0
36,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,36,1,25,0.32,2,217
37,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,119,4,109,1.14,1,285
38,Pankow,Prenzlauer Berg Südwest,Entire home/apt,90,5,65,0.66,2,186
39,Treptow - Köpenick,Alt  Treptow,Private room,42,3,11,0.12,1,65
40,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,56,2,101,1.02,1,32
